Loudness,Energy,Duration,Tempo,Year
-26.062,0.0,123.66322,107.023,0
-13.91,0.0,215.71873,105.937,0
-8.122,0.0,371.1473,128.003,0
-4.672,0.0,179.64363,83.689,1999
-14.1,0.0,422.16444,114.754,1968
-7.165,0.0,209.55383,110.009,2006
-10.228,0.0,266.4224,127.68,1988
-5.864,0.0,196.75383,86.012,0
-30.726,0.0,181.26322,106.343,0
-14.819,0.0,141.81832,106.328,1959
-10.76,0.0,180.92363,86.51,0
-6.918,0.0,220.81261,119.331,1997
-10.507,0.0,268.32934,89.158,0
-12.061,0.0,194.5073,130.02,1999
-13.308,0.0,177.99791,95.578,0
-12.186,0.0,281.12934,99.68,2009
-17.588,0.0,87.64036,142.48,0
-4.493,0.0,205.89669,105.991,2006
-5.01,0.0,126.04036,126.136,2003
-30.82,0.0,115.04281,113.863,2009
-4.609,0.0,233.45587,112.152,0
-8.527,0.0,336.19546,141.71,2001
-15.476,0.0,1280.522,63.103,0
-5.933,0.0,240.3522,89.981,2002
-12.723,0.0,185.44281,142.23,0
-8.218,0.0,227.00363,102.516,0
-27.754,0.0,166.26893,87.559,0
-7.111,0.0,212.61016,123.149,0
-9.014,0.0,517.642,86.668,0
-5.419,0.0,210.88608,112.427,2006
-10.721,0.0,37.82485,87.853,0
-10.918,0.0,216.5024,138.356,2001
-13.488,0.0,319.97342,116.04,0
-2.911,0.0,251.37587,119.91,0
-10.409,0.0,264.51546,120.674,0
-12.71,0.0,182.04689,115.404,0
-12.463,0.0,512.91383,78.958,0
-6.523,0.0,244.63628,91.987,2003
-9.647,0.0,147.22567,103.967,2001
-6.623,0.0,248.52853,141.493,0
-7.75,0.0,211.69587,113.359,1987
-8.042,0.0,229.95546,158.113,0
-9.836,0.0,451.02975,213.617,1981
-4.557,0.0,306.05016,92.4,2001
-8.171,0.0,424.9073,138.997,2002
-8.686,0.0,259.5522,85.159,2007
-7.324,0.0,239.56853,79.534,2000
-9.246,0.0,259.39546,146.808,0
-7.416,0.0,265.01179,134.551,1993
-15.447,0.0,286.17098,158.79,0
-6.53,0.0,250.04363,163.848,2003
-17.929,0.0,167.3922,192.242,0
-8.623,0.0,182.12526,79.694,0
-15.084,0.0,154.61832,118.222,1991
-10.182,0.0,167.49669,105.552,1956
-9.581,0.0,238.86322,122.789,0
-3.887,0.0,230.71302,87.636,0
-21.161,0.0,417.12281,76.965,0
-3.233,0.0,292.25751,199.497,0
-10.964,0.0,193.82812,137.45,0
-14.544,0.0,173.08689,123.745,0
-7.322,0.0,267.36281,141.438,1998
-8.128,0.0,288.20853,183.698,2003
-6.503,0.0,288.70485,97.233,2006
-7.38,0.0,468.06159,130.019,0
-8.549,0.0,237.7922,101.527,0
-11.998,0.0,351.29424,159.825,0
-13.526,0.0,175.35955,217.327,0
-17.725,0.0,239.5424,154.429,0
-6.748,0.0,234.16118,127.257,0
-6.147,0.0,221.17832,106.519,2009
-7.376,0.0,253.04771,105.461,0
-7.482,0.0,180.13995,76.74,0
-5.334,0.0,398.15791,129.974,0
-8.371,0.0,290.69016,86.0,0
-15.111,0.0,240.22159,85.175,0
-13.924,0.0,46.00118,150.735,1996
-15.863,0.0,374.30812,77.304,0
-9.86,0.0,28.96934,93.065,0
-3.683,0.0,225.41016,136.044,2004
-12.596,0.0,171.31057,141.019,0
-15.244,0.0,276.87138,171.197,0
-9.324,0.0,159.76444,127.956,1994
-3.894,0.0,140.64281,125.674,0
-9.698,0.0,212.92363,95.415,0
-14.103,0.0,145.99791,120.458,2002
-10.331,0.0,295.96689,141.584,0
-5.956,0.0,77.11302,124.285,0
-16.322,0.0,374.17751,103.719,0
-15.6,0.0,162.40281,181.861,2002
-8.558,0.0,230.63465,123.545,0
-14.498,0.0,268.87791,162.296,0
-6.13,0.0,243.9571,59.496,2006
-7.272,0.0,339.90485,111.071,0
-11.413,0.0,218.67057,157.419,2001
-4.433,0.0,288.33914,136.383,2009
-16.285,0.0,236.35546,125.989,0
-7.468,0.0,180.55791,100.05,2005
-5.652,0.0,275.30404,156.833,0
-21.874,0.0,166.47791,82.529,0
-4.968,0.0,237.87057,186.683,0
-6.34,0.0,151.40526,141.749,0
-11.48,0.0,175.49016,95.871,0
-12.576,0.0,124.96934,133.211,0
-13.014,0.0,244.29669,92.656,0
-4.566,0.0,244.55791,122.732,0
-15.682,0.0,173.71383,110.879,1996
-7.324,0.0,179.48689,127.362,0
-5.982,0.0,63.58159,103.931,0
-4.769,0.0,215.03955,85.677,0
-15.512,0.0,155.24526,167.793,2001
-2.908,0.0,84.1922,120.907,2002
-7.092,0.0,236.19873,167.697,2008
-28.95,0.0,194.19383,91.6,1992
-10.439,0.0,286.27546,142.98,2004
-12.062,0.0,456.82893,131.995,0
-8.336,0.0,204.32934,109.681,0
-5.225,0.0,58.30485,179.832,1998
-16.553,0.0,438.88281,97.521,2007
-14.4,0.0,176.37832,94.624,0
-26.288,0.0,121.75628,70.806,0
-3.423,0.0,191.9473,153.145,0
-11.803,0.0,312.58077,127.803,1977
-7.262,0.0,229.66812,119.27,2009
-15.064,0.0,219.58485,90.274,0
-16.111,0.0,287.05914,131.134,0
-12.193,0.0,28.83873,39.866,0
-9.336,0.0,207.49016,99.997,0
-9.648,0.0,254.17098,108.738,1989
-8.015,0.0,135.83628,139.826,1980
-6.244,0.0,186.46159,160.938,2005
-5.59,0.0,190.14485,116.036,0
-8.48,0.0,235.62404,159.083,1995
-8.298,0.0,124.39465,240.064,0
-13.102,0.0,27.68934,152.227,2007
-3.619,0.0,125.98812,132.136,2004
-12.595,0.0,259.3171,96.627,1995
-7.21,0.0,350.22322,131.01,2000
-10.316,0.0,185.7824,101.04,0
-5.464,0.0,234.68363,183.619,2005
-15.799,0.0,206.13179,144.438,1999
-7.053,0.0,363.38893,89.465,2008
-13.276,0.0,128.33914,115.365,1996
-5.978,0.0,183.87546,120.137,0
-21.585,0.0,167.33995,115.386,0
-5.221,0.0,218.72281,140.097,0
-5.175,0.0,238.96771,104.195,2007
-7.248,0.0,270.36689,116.032,2002
-14.061,0.0,369.26649,165.764,1992
-5.827,0.0,219.0624,114.116,2005
-6.904,0.0,187.0624,140.029,0
-15.49,0.0,232.9073,144.047,2002
-15.734,0.0,314.90567,241.52,1985
-4.931,0.0,216.78975,97.986,0
-25.736,0.0,247.7971,69.742,0
-19.797,0.0,160.9922,150.951,0
-9.369,0.0,509.33506,139.044,2000
-5.778,0.0,199.05261,148.601,2009
-9.421,0.0,307.59138,128.278,0
-8.662,0.0,164.07465,142.706,1981
-6.338,0.0,238.81098,187.835,0
-4.777,0.0,233.37751,120.357,0
-13.092,0.0,159.65995,87.461,2003
-12.494,0.0,348.08118,152.313,0
-6.422,0.0,217.99138,152.995,0
-7.377,0.0,230.5824,128.186,2006
-6.858,0.0,240.45669,115.979,1993
-4.875,0.0,232.202,158.058,2000
-8.448,0.0,248.11057,93.982,0
-4.994,0.0,220.3424,153.97,0
-8.896,0.0,220.1073,104.624,0
-5.005,0.0,221.54404,61.303,2004
-8.665,0.0,249.36444,145.944,0
-9.155,0.0,165.72036,124.369,1965
-14.876,0.0,171.15383,163.371,1967
-17.726,0.0,277.21098,129.691,0
-7.402,0.0,268.53832,96.236,0
-5.17,0.0,378.04363,140.043,2005
-5.135,0.0,149.34159,112.519,0
-4.865,0.0,168.4371,147.02,0
-7.944,0.0,193.74975,161.032,2007
-8.036,0.0,256.93995,130.106,2007
-4.871,0.0,126.06649,130.429,1998
-6.361,0.0,135.8624,78.681,0
-6.569,0.0,289.30567,124.152,0
-9.394,0.0,107.93751,157.699,1991
-9.845,0.0,555.54567,130.001,2006
-5.036,0.0,292.98893,173.903,2005
-41.691,0.0,72.77669,33.009,1981
-18.119,0.0,254.1971,64.796,0
-4.6,0.0,177.13587,93.749,2002
-13.013,0.0,259.16036,111.217,0
-19.744,0.0,288.60036,86.903,2005
-6.5,0.0,105.42975,93.161,2008
-7.162,0.0,184.08444,126.103,0
-7.633,0.0,215.562,86.205,0
-18.148,0.0,159.16363,172.221,0
-4.935,0.0,257.14893,141.987,0
-19.569,0.0,504.94649,92.203,2001
-8.09,0.0,224.36526,60.092,2006
-9.081,0.0,155.01016,97.337,0
-6.194,0.0,208.1171,128.865,0
-4.952,0.0,229.11955,160.275,0
-11.861,0.0,331.33669,118.188,0
-22.457,0.0,152.13669,172.514,0
-5.018,0.0,164.93669,131.999,0
-6.693,0.0,178.54649,122.886,0
-5.225,0.0,235.20608,151.941,2006
-12.8,0.0,162.19383,189.534,0
-7.22,0.0,143.35955,128.599,0
-15.631,0.0,167.99302,96.019,1995
-23.129,0.0,435.69587,112.176,0
-17.001,0.0,134.60853,80.182,1992
-9.008,0.0,369.52771,140.269,2005
-6.351,0.0,228.72771,93.658,0
-21.429,0.0,1204.29669,86.066,0
-10.958,0.0,167.3922,90.653,1991
-5.511,0.0,221.20444,107.485,2003
-13.548,0.0,277.10649,90.002,0
-23.576,0.0,498.80771,53.766,0
-11.324,0.0,190.04036,141.394,1993
-18.36,0.0,200.82893,122.651,0
-12.53,0.0,348.99546,85.356,0
-7.753,0.0,138.10893,135.121,0
-9.193,0.0,231.78404,101.327,0
-7.319,0.0,488.25424,68.0,2006
-14.932,0.0,171.20608,110.975,0
-6.436,0.0,364.53832,112.149,1999
-17.369,0.0,138.60526,144.591,0
-24.729,0.0,50.99057,125.15,1993
-9.363,0.0,187.42812,119.028,1973
-23.246,0.0,125.07383,131.648,2007
-10.429,0.0,260.91057,104.006,0
-23.685,0.0,201.61261,148.555,2004
-5.044,0.0,131.81342,137.33,0
-8.849,0.0,305.94567,88.471,0
-7.385,0.0,351.65995,121.95,0
-6.176,0.0,145.34485,132.513,0
-3.699,0.0,279.24853,170.038,2006
-15.582,0.0,178.442,116.729,0
-4.201,0.0,254.40608,99.968,0
-13.084,0.0,221.90975,138.102,1992
-6.029,0.0,333.34812,114.39,2005
-8.525,0.0,267.65016,139.018,0
-13.974,0.0,185.93914,220.266,0
-4.192,0.0,173.73995,93.0,2004
-4.431,0.0,379.11465,115.115,2007
-6.691,0.0,240.22159,112.958,0
-11.058,0.0,431.51628,115.221,0
